station_id,name,codes,atco,locality,parent_locality,lat,lon
ABWD,Abbey Wood (London),ABWD|ABWDXR,9100ABWD,Abbey Wood,London,51.49106247,0.121394115
ABER,Aber,ABER,9100ABER,Aber,Caerphilly,51.57496554,-3.229828477
ABRCYNS,Abercynon,ABRCYNS,9100ABRCYNS,Abercynon,,51.64344991,-3.328569861
ABDARE,Aberdare,ABDARE,9100ABDARE,Aberdare,,51.71505791,-3.443083446
ABRDEEN,Aberdeen,ABRDEEN,9100ABRDEEN,Aberdeen,,57.14370402,-2.098685122
ABDO,Aberdour,ABDO,9100ABDO,Aberdour,,56.05459191,-3.300560017
ABDVY,Aberdovey,ABDVY,9100ABDVY,Aberdovey,,52.5439566,-4.057067068
ABRE,Abererch,ABRE,9100ABRE,Abererch,,52.89858307,-4.374175437
ABRGVNY,Abergavenny,ABRGVNY,9100ABRGVNY,Abergavenny,,51.81668982,-3.009646799
ABGLELE,Abergele & Pensarn,ABGLELE,9100ABGLELE,Abergele,,53.29457303,-3.582621988
ABRYSTH,Aberystwyth,ABRYSTH,9100ABRYSTH,Aberystwyth,,52.41404495,-4.081893523
ACRNGTN,Accrington,ACRNGTN,9100ACRNGTN,Accrington,,53.75297118,-2.369547778
ACHANLT,Achanalt,ACHANLT,9100ACHANLT,Achanalt,,57.60959584,-4.913851258
ACHNSHN,Achnasheen,ACHNSHN,9100ACHNSHN,Achnasheen,,57.57928965,-5.072332139
ACHHSHL,Achnashellach,ACHHSHL,9100ACHHSHL,Achnashellach,,57.48207427,-5.333055256
ACKLNGT,Acklington,ACKLNGT,9100ACKLNGT,Acklington Station,Acklington,55.30709824,-1.651834613
ACLE,Acle,ACLE,9100ACLE,Acle,,52.63468202,1.543915276
ACOCKSG,Acocks Green,ACOCKSG,9100ACOCKSG,Acocks Green,Birmingham,52.44932278,-1.818975411
ACBG,Acton Bridge,ACBG,9100ACBG,Acton Bridge,,53.2665072,-2.603126524
ACTNCTL,Acton Central,ACTNCTL,9100ACTNCTL,Acton,London,51.50871628,-0.262970615
ACTONML,Acton Main Line,ACTONML,9100ACTONML,Acton,London,51.51718015,-0.266756362
ADERLYP,Adderley Park,ADERLYP,9100ADERLYP,Adderley Park,Birmingham,52.48308594,-1.85594442
ADIEWEL,Addiewell,ADIEWEL,9100ADIEWEL,Addiewell,,55.84340895,-3.606526412
ADLESTN,Addlestone,ADLESTN,9100ADLESTN,Addlestone,,51.37304566,-0.484456717
ADISHAM,Adisham,ADISHAM,9100ADISHAM,Adisham,,51.24120154,1.199089268
ADLC,Adlington (Cheshire),ADLC,9100ADLC,Adlington,,53.31955398,-2.133562473
ADNL,Adlington (Lancs),ADNL,9100ADNL,Adlington,,53.61324428,-2.603070813
ADWICK,Adwick,ADWICK,9100ADWICK,Adwick le Street,,53.57232072,-1.180356207
AIGBURT,Aigburth,AIGBURT,9100AIGBURT,Aigburth,Liverpool,53.36456492,-2.927154925
AINSDAL,Ainsdale,AINSDAL,9100AINSDAL,Ainsdale,Southport,53.60203226,-3.042652009
AINTREE,Aintree,AINTREE,9100AINTREE,Aintree,,53.47390962,-2.956280314
AIRBLES,Airbles,AIRBLES,9100AIRBLES,Motherwell,,55.7828331,-3.994192441
AIRDRIE,Airdrie,AIRDRIE,9100AIRDRIE,Airdrie,,55.8639788,-3.982912064
